issns	existing_issn	Q		
1881-4883,0369-4305	0369-4305	26842850
2250-1746,0369-8211	0369-8211	21385287
1661-8165,0369-8394	0369-8394	27712710
1747-2741,0370-0461	0370-0461	6087093
2451-2699,0370-0747	0370-0747	26842333
2382-4980,0370-3908	0370-3908	6107120
2204-0293,0372-1426	0372-1426	15767111
1521-3749,0372-7874	1521-3749	186776
1522-2624,0372-851X	1522-2624	3046580
1522-2624,0372-851X	1522-2624	3046580
1522-2624,0372-9702	1522-2624	3046580
1522-2624,0372-9702	1522-2624	3046580
2281-9282,0373-3491	0373-3491	21385460
2109-9529,0373-5478	0373-5478	15767354
1961-8603,0373-5834	0373-5834	2933109
2507-0185,0373-6075	0373-6075	15762509
2305-2899,0374-1990	0374-1990	4493429
1522-239X,0374-6577	1522-239X	5643138
2382-5812,0374-7859	0374-7859	6144504
2221-4062,0375-1589	0375-1589	15763241
1805-9392,0375-8427	0375-8427	15752611
1935-0554,0375-9210	0375-9210	24039112
1827-613X,0375-930X	1827-613X	29043778
0975-5977,0376-9836	0376-9836	6020500
0974-780X,0377-2063	0377-2063	15762363
2215-4175,0377-7316	0377-7316	27716594
2224-7238,0377-9238	0377-9238	15758133
2383-9457,0377-9556	0377-9556	15753292
1308-2523,0377-9777	0377-9777	27713694
1423-016X,0378-0392	0378-0392	27712015
1564-9148,0378-5548	0378-5548	15716344
1564-9121,0378-5599	0378-5599	15716344
2211-5757,0378-7869	0378-7869	18021063
2296-4096,0378-7931	0378-7931	3045490
2107-0180,0378-7966	0378-7966	15757261
0378-8652,1728-015X	0378-8652	27715797
1810-536X,0378-8660	0378-8660	1453509
0974-4576,0378-9519	0378-9519	21385842
1752-1726,0379-0282	0379-0282	6053235
1752-1718,0379-0312	0379-0312	15750880
2234-8077,0379-153X	0379-153X	15760246
1841-7744,0379-4024	0379-4024	15441783
2067-1865,0379-5837	2067-1865	50815290
2225-4765,0379-8046	0379-8046	15764271
2504-2505,0379-8305	0379-8305	27710707
2223-6279,0379-8577	0379-8577	15749630
1927-629X,0380-1489	0380-1489	5030601
1880-408X,0385-0110	0385-0110	15761048
1346-8138,0385-2407	0385-2407	18225322
1882-577X,0385-5716	0385-5716	15755706
1884-0035,0385-6410	0385-6410	27719502
1349-6964,0385-7417	0385-7417	27718972
1881-5685,0386-2186	0386-2186	15752370
1883-8995,0386-9113	0386-9113	15817569
2186-2753,0387-1061	0387-1061	15746162
2186-5132,0387-3374	0387-3374	15817863
1884-569X,0387-5911	0387-5911	27711542
1881-0888,0387-754X	0387-754X	15753453
2187-2864,0387-821X	0387-821X	26839425
1880-3989,0388-1350	0388-1350	15724546
2185-3509,0388-2861	0388-2861	15757967
1884-4758,0388-3051	0388-3051	15817831
1881-7335,0388-788X	0388-788X	15759379
1972-5760,0390-0851	0390-0851	3487482
1826-9885,0390-5551	0390-5551	27715007
1972-5566,0390-6140	0390-6140	27718789
2210-5875,0391-3341	0391-3341	27715254
1972-5515,0391-6987	0391-6987	27716412
1126-5442,0392-0461	0392-0461	27711320
1972-554X,0392-5048	0392-5048	27718691
2037-6731,0393-5949	0393-5949	15754999
1573-3025,0393-5965	0393-5965	2189118
1824-3096,0393-9383	0393-9383	27718808
1953-8146,0395-2649	0395-2649	3098897
1776-3061,0397-7870	0397-7870	27716591
2108-6443,0399-0826	0399-0826	2850663
2299-8306,0423-104X	0423-104X	9253923
2185-5609,0424-7086	0424-7086	15766885
2504-2572,0425-1423	0425-1423	27710791
2284-4880,0429-288X	0429-288X	21386045
1953-8103,0439-4216	0439-4216	3203581
2159-3884,0440-730X	2159-3884	39476288
2328-1103,0440-9213	0440-9213	15759617
2159-3957,0441-6651	0441-6651	39476282
2186-0211,0446-6454	0446-6454	27719485
1540-627X,0447-2778	1540-627X	6295918
2326-2516,0449-010X	0449-010X	6189918
1542-6246,0449-2951	0449-2951	27714152
1542-9350,0449-296X	0449-296X	27711714
1542-6254,0449-2986	0449-2986	27711715
1881-3593,0451-4203	0451-4203	15754581
1884-1228,0453-0691	0453-0691	15762690
1883-7018,0454-1146	0454-1146	15757006
2391-4815,0464-1086	0464-1086	11786886
2353-1339,0465-5893	0465-5893	26853954
1349-8029,0470-8105	0470-8105	26842870
2164-3415,0486-3739	0486-3739	15816904
2539-472X,0486-6525	0486-6525	15764269
2080-4873,0500-7208	0500-7208	27719711
2411-2097,0507-4088	0507-4088	27713836
2366-0295,0514-2776	0514-2776	27716643
2386-3943,0514-7336	0514-7336	15765193
1661-4011,0517-8606	0517-8606	15764172
2346-8866,0518-3669	2346-8866	50817017
1820-6069,0534-0012	0534-0012	1852162
1309-6257,0535-8418	0535-8418	15764313
2185-291X,0536-3683	0536-3683	2348209
1881-4174,0544-2540	0544-2540	15757006
1883-8383,0546-1448	0546-1448	27727669
2060-8543,0546-8191	0546-8191	15755610
1848-865X,0547-2504	0547-2504	15759260
2189-4205,0549-3811	0549-3811	15760128
1884-2844,0549-4974	0549-4974	28841203
1338-4376,0551-3677	1338-4376	50814410
2353-3021,0552-4245	0552-4245	28674093
1587-3773,0553-6626	0553-6626	15754970
2316-9397,0556-5782	0556-5782	15762389
1988-2718,0556-6533	0556-6533	15767319
2105-2913,0556-7807	0556-7807	3428730
2117-5683,0557-7705	0557-7705	15766053
2305-3135,0564-6162	0564-6162	4679014
2328-1235,0569-4345	0569-4345	15766515
2041-4102,0570-6084	0570-6084	15760475
2341-1120,0570-7218	0570-7218	13146728
1573-8191,0571-7256	0571-7256	15759514
2396-9202,0578-6967	0578-6967	5973372
1958-5705,0585-5292	0585-5292	7628021
2507-0355,0585-5403	0585-5403	9347350
1847-117X,0586-0296	0586-0296	15764253
1745-1707,0586-7614	0586-7614	4049133
1547-3317,0587-2871	0587-2871	15762436
1749-6306,0590-8876	0590-8876	35387261
1848-9079,0590-9597	0590-9597	27722626
1708-5268,0701-1008	0701-1008	15749180
1918-5138,0703-0428	0703-0428	15762913
1715-2992,0706-0661	0706-0661	15751122
2369-7180,0709-5201	0709-5201	15749747
2291-2436,0710-0353	0710-0353	29043677
1929-610X,0712-2330	0712-2330	2933113
1923-2705,0712-8657	0712-8657	15750967
0719-8442,0716-7725	0716-7725	6107100
0719-0409,0717-1013	0719-0409	50814221
0719-2584,0719-2576	0719-2584	50814355
2366-2166,0720-1605	0720-1605	1255791
2198-0667,0720-3659	0720-3659	1517604
2197-0831,0720-6259	0720-6259	1320855
1438-9584,0722-348X	0722-348X	27715393
2364-933X,0722-480X	0722-480X	2381332
1615-6722,0723-5003	0723-5003	11776847
2365-9920,0723-5186	0723-5186	1404527
1433-8629,0723-8886	0723-8886	27719285
2511-0853,0724-9616	0724-9616	15749496
0810-2597,0726-6472	0726-6472	15761133
2200-405X,0727-9620	0727-9620	15756097
2150-6841,0729-3682	0729-3682	15750093
1526-6702,0730-2347	0730-2347	26841976
2168-3816,0730-3084	0730-3084	15756337
1098-2329,0730-6679	0730-6679	15756200
2157-2941,0730-9139	0730-9139	15750458
2163-5226,0730-9295	0730-9295	15753976
1533-8673,0731-1214	0731-1214	2867616
2331-4117,0731-1265	0731-1265	15761485
2214-5907,0731-3500	0731-3500	15753136
1521-0502,0731-356X	0731-356X	15760451
1099-1735,0731-7239	0731-7239	7663850
2168-376X,0731-9487	0731-9487	15759063
2211-8993,0732-2992	0732-2992	6937141
2305-9931,0732-9113	0732-9113	6295437
2164-7984,0733-2491	0733-2491	6295432
1532-2270,0733-4680	0733-4680	15762337
1943-7889,0733-9399	0733-9399	15749206
1944-8368,0733-9410	0733-9410	15752673
1098-8955,0734-0451	0734-0451	24055092
1520-8559,0734-2101	0734-2101	13739484
2327-9877,0734-211X	0734-211X	29043658
1945-2349,0734-4392	0734-4392	15756685
2168-4723,0734-578X	0734-578X	15755809
2053-7387,0734-6875	0734-6875	15759446
1544-4538,0734-7324	0734-7324	18204985
2158-9119,0735-648X	0735-648X	15755406
1935-9209,0736-718X	0736-718X	15753037
2156-6208,0736-9921	0736-9921	7644858
1099-1247,0737-2884	0737-2884	15749855
2052-1731,0737-3759	0737-3759	15753763
2328-207X,0737-4453	0737-4453	15763725
2164-0564,0737-4836	0737-4836	15816609
1948-4801,0737-7363	0737-7363	15752850
2050-8999,0737-769X	0737-769X	6294944
2196-8918,0738-6729	0738-6729	15756004
2376-4791,0739-5329	0739-5329	15764013
1098-8963,0739-9529	0739-9529	26842882
1535-6574,0740-9133	0740-9133	27716181
1097-4563,0741-2223	0741-2223	15767330
1819-7108,0742-0463	0742-0463	3186952
2159-9394,0742-1656	0742-1656	15751188
1464-5491,0742-3071	0742-3071	15758639
1099-0895,0742-4221	0742-4221	27710714
2056-9017,0742-7778	0742-7778	15752942
1470-3602,0743-0175	0743-0175	15751780
1532-5970,0743-3808	0743-3808	15752712
1040-2381,0743-8141	1040-2381	15767046
1520-6459,0745-7790	0745-7790	27709511
1532-4176,0747-4946	0747-4946	15763944
2163-3088,0748-0814	0748-0814	15761255
1099-1700,0748-8386	0748-8386	15753726
2152-999X,0749-1409	0749-1409	15750267
1777-5809,0751-7971	0751-7971	15751040
2104-371X,0752-5443	0752-5443	15817487
2259-3764,0755-9593	0755-9593	47009865
2107-0881,0761-3032	0761-3032	15757779
1776-2790,0762-7491	0762-7491	47009622
1777-5418,0765-0752	0765-0752	15758926
1968-3898,0765-1333	0765-1333	3406282
2101-0013,0766-5075	0766-5075	15758815
2051-2821,0767-3701	0767-3701	15817688
1760-7388,0769-0479	0769-0479	15457157
1952-4226,0769-3206	0769-3206	42020894
2295-9025,0771-7776	0771-7776	15757291
2034-7871,0776-3824	0776-3824	3195472
2034-645X,0778-9750	0778-9750	15756242
2264-5209,0779-1674	0779-1674	47010066
2051-6967,0790-9667	0790-9667	15751849
2050-5280,0791-6035	0791-6035	15749945
2191-0219,0792-1241	0792-1241	3278270
2157-0272,0792-4259	0792-4259	15766383
2191-0286,0792-6855	0792-6855	26867042
0792-9978,1565-8187	0792-9978	15755710
2191-0189,0793-0135	0793-0135	15754885
2191-0197,0793-0283	0793-0283	3134785
0795-9168,2276-7096	2276-7096	27724299
1891-1838,0800-1014	0800-1014	19392474
1504-3053,0800-336X	0800-336X	11992866
2084-0098,0800-6865	0800-6865	21385050
1504-2936,0801-1745	0801-1745	19383955
2387-5879,0801-7778	0801-7778	27723088
1504-2928,0804-0486	0804-0486	12002111
0805-9535,0804-8452	0804-8452	11992345
0806-6213,0806-6205	0806-6205	7050708
2464-3076,0809-2052	2464-3076	12006309
1891-1781,0809-6341	0809-6341	15764158
1891-943X,0809-6724	0809-6724	19383198
1890-7008,0809-7291	0809-7291	15758954
2535-3381,0809-9227	0809-9227	19383143
0809-9537,1502-685X	1502-685X	19392472
0809-9553,1503-2965	1503-2965	19392468
2049-775X,0814-0626	0814-0626	15755705
1839-339X,0814-3021	0814-3021	15763112
1949-453X,0814-5857	0814-5857	15759809
1839-2504,0816-5122	0816-5122	15757604
2371-0179,0823-2105	0823-2105	15767254
2368-2000,0823-3993	0823-3993	27724663
2369-5293,0825-8597	0825-8597	15762765
2333-1461,0826-3663	0826-3663	15817649
1925-8917,0826-435X	0826-435X	15751760
2169-2610,0827-6331	0827-6331	15757071
1918-7750,0829-2507	0829-2507	15757664
2154-3984,0829-5735	0829-5735	1351016
1923-5771,0831-1048	0831-1048	27719012
1913-5440,0833-2207	0833-2207	15764927
1496-7308,0834-1516	0834-1516	15759302
1929-6657,0835-3433	0835-3433	15757902
1708-2188,0835-8443	0835-8443	15756825
1705-9240,0838-4479	0838-4479	15766169
2352-3883,0840-4704	0840-4704	15816807
1911-0243,0840-6286	0840-6286	15765474
2056-4260,0841-8209	0841-8209	15756962
2327-8897,0843-5243	0843-5243	15749716
2443-0994,0852-100X	0852-100X	50478717
2460-9919,0852-1697	0852-1697	50478715
2541-2558,0852-9604	2541-2558	50817999
2502-6542,0853-5884	0853-5884	50478691
2549-1709,0853-6627	0853-6627	50478690
2442-2274,0853-7100	2442-2274	50817551
2528-6870,0853-8212	0853-8212	27724076
2089-2241,0853-8654	0853-8654	27724073
2502-6569,0853-8980	0853-8980	27724036
2541-450X,0854-2880	0854-2880	50497464
2338-5022,0854-7823	0854-7823	50497448
2465-4418,0857-717X	0857-717X	27718155
2083-1862,0860-021X	0860-021X	15765561
2544-4433,0860-0562	0860-0562	9347351
1734-4948,0860-6161	1734-4948	50814611
1802-5307,0862-495X	0862-495X	27020364
1572-9109,0862-7940	0862-7940	15751192
2464-7136,0862-7959	0862-7959	15761040
1805-9333,0862-867X	0862-867X	27725869
2392-1196,0867-4159	0867-4159	15751762
2084-6118,0867-6046	2084-6118	50815504
2299-8292,0867-7077	0867-7077	11819843
2391-6834,0867-8308	0867-8308	11762422
2412-1320,0869-2084	0869-2084	27714039
2412-9100,0869-2106	0869-2106	27709908
1556-2085,0869-5911	0869-5911	15765133
2587-7372,0869-608X	0869-608X	19907985
2412-2106,0869-866X	0869-866X	27721066
2183-8925,0870-0958	0870-0958	28363416
2182-7982,0870-0990	0870-0990	15752107
2183-461X,0870-5283	0870-5283	15763528
2183-7791,0870-6182	0870-6182	15759112
2182-7907,0873-6529	0873-6529	50497622
2182-2891,0873-6561	0873-6561	15749183
2326-2486,0882-1127	0882-1127	15745318
2044-5326,0884-2914	0884-2914	15760559
1099-1271,0884-3996	0884-3996	6703272
1934-8401,0884-5913	0884-5913	2782110
1098-2256,0884-8181	0884-8181	24056152
1745-2635,0885-4300	1745-2635	15817697
1931-7794,0885-4734	0885-4734	15762795
1469-591X,0885-6257	0885-6257	15759066
2162-4399,0885-8608	0885-8608	15766157
1937-4208,0885-8977	0885-8977	15751777
1522-161X,0886-1714	0886-1714	1091804
1545-584X,0886-5140	0886-5140	26839891
1099-1646,0886-9375	0886-9375	15749439
2151-0903,0886-9634	0886-9634	15752347
1522-7146,0887-2082	0887-2082	24039123
1940-2473,0887-302X	0887-302X	5135564
2380-2057,0887-4417	0887-4417	2057548
2164-0041,0887-9982	0887-9982	1775901
1477-2787,0888-4315	0888-4315	15817141
1478-5498,0889-1893	0889-1893	2802777
1573-7128,0889-3047	0889-3047	15734674
2196-8926,0889-9401	0889-9401	26842012
2168-6602,0890-1171	0890-1171	15761711
1521-0405,0890-3069	0890-3069	15750252
1525-612X,0890-5452	0890-5452	15753270
2191-8945,0890-5487	0890-5487	15756448
1540-8698,0890-7064	0890-7064	6051569
1533-8355,0890-9997	0890-9997	26849603
1234-987X,0891-060X	0891-060X	26853907
1939-2869,0891-1150	0891-1150	26842450
1521-0480,0891-6152	0891-6152	15754564
2162-4569,0892-1016	0892-1016	3186941
2168-3778,0892-4562	0892-4562	15816391
2157-8834,0892-7626	0892-7626	15751025
2331-9089,0893-5580	0893-5580	15766952
1600-0749,0893-5785	0893-5785	762851
1520-6769,0893-6609	0893-6609	15764276
1540-5842,0893-7850	0893-7850	27720955
1557-9026,0894-2684	0894-2684	15752401
1607-8462,0894-8569	0894-8569	26841903
1520-0450,0894-8763	0894-8763	3186895
1572-9524,0894-9875	0894-9875	2279486
1938-2057,0895-0695	0895-0695	15764553
1572-9605,0896-1107	0896-1107	15750649
2169-1088,0896-4297	0896-4297	15757029
1305-3299,0896-6346	0896-6346	15755838
1540-8582,0896-6966	0896-6966	15758466
1718-4304,0896-8608	0896-8608	15758672
1531-1937,0897-1900	0897-1900	6295746
1874-6314,0897-1986	0897-1986	15759130
1527-3466,0897-5957	0897-5957	13455172
1540-4064,0897-7186	0897-7186	15755983
1884-7269,0898-5901	0898-5901	26842101
2162-4232,0898-6207	0898-6207	21385162
2470-4083,0898-7564	0898-7564	15758006
1940-4018,0899-1510	0899-1510	15746471
1901-9726,0900-9671	1901-9726	50814806
1904-7797,0901-8883	1904-7797	50398672
1600-0773,0901-9928	0901-9928	15724438
1903-2285,0902-2767	0902-2767	27714290
1571-8107,0902-7351	0902-7351	15749882
1570-0712,0904-2431	0904-2431	15762746
1600-0668,0905-6947	0905-6947	15756118
1747-6623,0907-676X	0907-676X	15764201
1884-6181,0910-2027	0910-2027	15757893
2187-2988,0911-1794	0911-1794	27723769
1349-7413,0911-4300	0911-4300	26842183
1880-5086,0912-0009	0912-0009	24039135
1881-9710,0913-400X	0913-400X	11509485
1442-1984,0913-557X	0913-557X	27714061
1881-655X,0913-882X	0913-882X	45217497
1741-5420,0914-3505	0914-3505	26840002
1749-0774,0914-7470	0914-7470	26853933
2186-1269,0914-7675	0914-7675	45096230
1881-915X,0914-9198	0914-9198	15724542
1349-2853,0915-1389	0915-1389	15752134
1881-1337,0915-2350	0915-2350	15758046
2187-5626,0915-5287	0915-5287	15754779
1880-8808,0915-7441	0915-7441	27722853
1884-3360,0915-860X	0915-860X	15745412
2432-471X,0916-1821	0916-1821	11232849
1884-8141,0916-7293	0916-7293	28840809
1881-7661,0917-1436	0917-1436	47487065
1882-5729,0917-415X	0917-415X	22110427
1349-9092,0917-5040	0917-5040	6295166
1880-2273,0918-1067	0918-1067	21385195
1884-3107,0918-3701	0918-3701	15756655
1437-773X,0918-4287	0918-4287	27714917
2187-9257,0919-4452	0919-4452	15764111
1882-3408,0919-6765	0919-6765	27720947
1444-2906,0919-9268	1444-2906	15765724
1573-0425,0920-525X	0920-525X	15763644
1572-9370,0920-6299	0920-6299	15761452
1573-8280,0921-299X	0921-299X	27709709
1568-5578,0921-3775	0921-3775	27709762
1573-0905,0922-4777	0922-4777	15763433
1573-109X,0922-5773	0922-5773	2321247
1573-1111,0923-0750	1573-1111	15756162
2214-7357,0924-0519	0924-0519	15766781
1744-4241,0924-3860	0924-3860	15766146
1573-7306,0924-8455	0924-8455	27714291
1569-3929,0924-9265	0924-9265	15756708
1297-9708,0926-5287	0926-5287	26842168
1572-932X,0927-6947	0927-6947	13360776
1573-2746,0927-7056	0927-7056	3233386
2294-1932,0928-1541	0928-1541	15761372
1573-9023,0928-2866	0928-2866	15766522
1573-496X,0929-5666	0929-5666	15757092
2196-5668,0930-2786	0930-2786	15758009
2195-8602,0930-777X	0930-777X	15760948
1439-0442,0931-184X	0931-184X	15753253
1521-4133,0931-5985	0931-5985	15751683
2366-1941,0931-6000	0931-6000	1171374
1617-7134,0931-8658	0931-8658	15766872
1521-3838,0931-8771	0931-8771	15757021
1432-0711,0932-0067	0932-0067	15764214
1865-7117,0932-0776	0932-0776	8068629
2195-8564,0932-3414	0932-3414	22911531
2195-8580,0932-3902	0932-3902	15755258
2190-6270,0932-4089	0932-4089	15765098
1437-0999,0932-8351	1437-0999	15763588
1613-7647,0933-2766	0933-2766	2588081
2196-243X,0933-5315	0933-5315	27723554
1434-3924,0933-7946	0933-7946	15751191
1865-5084,0934-3504	0934-3504	16856226
1435-6066,0934-9839	0934-9839	15764255
2196-8071,0935-3518	0935-3518	532243
1521-4168,0935-6304	0935-6304	15761632
2366-2018,0937-2180	0937-2180	1395195
1433-0377,0939-0146	0939-0146	27714337
1439-1074,0939-2661	0939-2661	293827
1865-7125,0939-5075	0939-5075	3575113
2364-3951,0939-608X	0939-608X	15848048
2326-2680,0939-7140	0939-7140	15766449
1431-5831,0939-7922	0939-7922	186720
2376-9319,0939-8368	0939-8368	15749581
1434-4467,0940-5437	0940-5437	24031575
1521-3897,0941-1216	1521-3897	1709822
2195-6405,0941-8849	0941-8849	15761301
2190-6246,0942-5403	0942-5403	15732991
2194-4032,0942-8704	0942-8704	15758284
2366-6161,0943-0180	0943-0180	5890979
1862-0035,0943-2779	0943-2779	15766262
2194-4040,0943-691X	0943-691X	15758509
2198-0713,0944-2502	0944-2502	190266
1863-7353,0944-6524	0944-6524	15750445
2520-1816,0945-1129	0945-1129	27714125
1432-2188,0945-8115	0945-8115	15762441
2198-0462,0946-3518	0946-3518	15724475
1432-1858,0946-7076	1432-1858	2213041
1868-6249,0947-0867	0947-0867	27714260
1099-0690,0947-3440	1099-0690	899286
2366-035X,0948-5139	0948-5139	1444852
2194-1327,0948-6259	0948-6259	15751570
1434-3932,0948-7034	0948-7034	26842422
2196-6869,0949-0345	0949-0345	1169777
1433-3066,0949-2054	0949-2054	152212
2366-0945,0949-2100	0949-2100	381998
1436-2023,0949-2658	0949-2658	15734518
2043-6858,0950-4222	0950-4222	15764727
1573-6784,0951-208X	0951-208X	4915332
1522-9637,0952-0600	0952-0600	27709890
1476-8578,0952-3383	0952-3383	4970211
2165-0586,0952-4622	0952-4622	15753871
1469-7998,0952-8369	1469-7998	1135720
1475-3308,0953-0460	0953-0460	21683548
1365-2036,0953-0673	1365-2036	4726656
1875-8584,0953-4180	0953-4180	15758123
1873-7951,0953-5438	0953-5438	15766644
2058-7058,0953-8585	0953-8585	1989782
1360-0613,0954-4127	1360-0613	15762543
1466-1837,0954-4828	0954-4828	15750626
1572-8498,0956-2737	0956-2737	26841929
1364-5455,0956-5000	0956-5000	6296130
1741-0509,0956-9944	1741-0509	15751746
2053-7832,0957-0144	0957-0144	6051426
1464-3782,0957-4832	0957-4832	15754594
1469-9478,0958-5184	0958-5184	15760340
1469-9036,0959-2598	0959-2598	7318403
1878-3619,0959-2989	0959-2989	15746681
1361-6676,0959-7174	0959-7174	1870451
1099-1816,0959-9754	0959-9754	15761400
1878-6413,0960-3409	0960-3409	15752775
1365-2370,0960-7420	0960-7420	15755115
1099-0976,0961-0405	0961-0405	15755628
2058-5063,0962-1377	0962-1377	6294921
1361-6617,0963-9659	0963-9659	6295685
1468-3318,0964-4563	0964-4563	15766348
2052-2940,0964-9271	0964-9271	15767277
1751-7662,0965-089X	0965-089X	15761698
1751-7699,0965-0903	0965-0903	15761702
2045-0052,0965-1721	0965-1721	15751361
2041-9015,0965-9315	0965-9315	7132760
2053-888X,0966-0356	0966-0356	7437607
2052-2819,0966-0461	0966-0461	15754463
1746-1545,0966-2839	0966-2839	25101303
1744-0556,0966-2847	0966-2847	15746500
2051-3062,0966-9671	0966-9671	15759703
1469-8730,0967-1994	0967-1994	2363308
2043-6874,0967-828X	0967-828X	15759018
1475-2956,0968-0446	0968-0446	5735549
1475-2956,0968-0446	0968-0446	5735549
1475-2964,0968-0454	0968-0454	21385332
1475-2964,0968-0454	0968-0454	21385332
2052-2916,0969-0700	0969-0700	15750471
2052-4307,0969-4900	0969-4900	15754461
1559-0100,0969-711X	0969-711X	28807262
1754-0054,0970-0161	1754-0054	15751296
2320-3188,0970-0765	0970-0765	15761799
0974-0422,0970-1915	0970-1915	26853918
2231-6744,0970-3209	0970-3209	15753878
2320-3196,0970-4612	0970-4612	15759103
2320-3226,0970-6577	0970-6577	15752971
0975-427X,0970-7077	0970-7077	15750342
2364-1045,0971-1554	0971-1554	15765497
0974-6870,0971-3514	0971-3514	15750607
0973-0745,0971-3557	0971-3557	15757074
0974-0449,0971-4502	0971-4502	26842440
0973-5046,0971-4693	0971-4693	2239780
0973-0672,0971-5215	0971-5215	15762920
0973-0788,0971-5231	0971-5231	15766685
0974-0430,0971-5894	0971-5894	26841919
2277-8934,0971-6777	0971-6777	15764968
0975-0703,0971-7196	0971-7196	21385355
0973-0796,0971-7218	0971-7218	15754588
0973-0656,0971-8524	0971-8524	15757342
0975-6434,0971-9202	0971-9202	26841825
2230-7281,0971-930X	0971-930X	21385360
0973-0753,0971-9458	0971-9458	25245553
1613-4109,0971-9539	0971-9539	15760496
2169-012X,0972-0502	0972-0502	15761641
2169-0014,0972-0510	0972-0510	15763304
2169-0065,0972-0529	0972-0529	15755100
0973-0729,0972-0634	0972-0634	25112150
0973-9793,0972-2068	0972-2068	26841861
2249-5304,0972-2629	0972-2629	24914475
0974-181X,0972-2963	0972-2963	15759199
2348-7542,0972-3226	0972-3226	15765637
1998-4057,0972-4052	0972-4052	26853802
2199-6873,0972-5792	0972-5792	15767156
0973-0710,0972-6527	0972-6527	15746465
0972-6802,2090-8997	0972-6802	50497597
0976-3260,0972-7531	0972-7531	26842110
0974-942X,0972-8279	0972-8279	26842679
2231-0916,0972-8988	0972-8988	26842623
0973-0680,0973-0052	0973-0052	15764731
2456-2602,0973-1245	0973-1245	27722386
2249-5320,0973-1849	0973-1849	24956233
0973-2551,0973-2535	0973-2535	27721035
0973-2594,0973-2586	0973-2586	24957398
0974-0155,0973-340X	0973-340X	27725404
0973-4074,0973-4082	0973-4082	15754005
2090-9810,0973-4945	0973-4945	29043821
1760-6101,0973-5348	0973-5348	15766772
2349-0047,0973-5984	0973-5984	24911633
0975-1947,0974-0333	0974-0333	26842767
0976-4658,0974-0643	0974-0643	15758227
0974-6897,0974-3227	0974-3227	26842590
2455-9563,0974-4304	0974-4304	27726340
0975-1904,0974-7052	0974-7052	26842326
0974-7907,0974-7893	0974-7893	21385393
0975-2730,0974-9101	0974-9101	24915284
0976-352X,0974-9276	0974-9276	24915205
0975-2684,0974-9284	0974-9284	15763326
0975-4709,0974-9292	0974-9292	24915157
0975-5969,0974-9306	0974-9306	24915079
0976-3465,0975-0878	0975-0878	24911767
0975-3834,0975-4679	0975-3834	15817166
0976-3546,0975-4253	0975-4253	23580084
0975-9174,0975-5276	0975-5276	27722952
0976-6952,0975-7651	0975-7651	26841988
2321-7081,0976-3996	0976-3996	24914831
0976-9633,2455-0566	0976-9633	27724879
2427-9048,0982-9237	0982-9237	19851135
2262-4783,0984-8207	0984-8207	47009298
2428-3568,0985-1402	0985-1402	47010192
1778-3593,0985-3111	0985-3111	15746350
2111-4412,0986-6035	0986-6035	2963695
2105-2956,0987-1381	0987-1381	15816981
1777-5744,0987-3368	0987-3368	3428656
2431-210X,0987-6014	0987-6014	50497839
1950-6821,0987-6936	1950-6821	3299054
2272-8856,0990-6908	0990-6908	47009278
1760-7906,0990-9141	0990-9141	2933142
2271-6092,0992-3705	2271-6092	50816529
2119-4130,0992-986X	0992-986X	15765087
2262-4848,0994-2424	0994-2424	47009608
2264-590X,0994-7949	0994-7949	20726045
2104-3841,0995-3914	2104-3841	27714659
1775-4224,0996-9403	0996-9403	3428710
1944-446X,1000-467X	1000-467X	15760211
1872-2059,1000-8713	1000-8713	27714788
2192-8258,1000-9345	1000-9345	15751103
1993-0364,1000-9426	1000-9426	15756430
1993-0631,1000-9604	1000-9604	26841836
1867-7185,1001-0521	1001-0521	15760439
1878-0342,1001-6058	1001-6058	15765892
2210-3147,1001-8042	1001-8042	14511704
1674-0068,1003-7713	1674-0068	28401829
2079-7338,1004-8979	1004-8979	15750716
1862-2798,1006-9305	1006-9305	2619480
1559-7067,1009-6124	1009-6124	15751427
1664-2910,1010-0652	1010-0652	186734
2376-3965,1010-8270	1010-8270	15817416
2409-5540,1010-9161	1010-9161	15754938
1862-2585,1011-0070	1011-0070	25378569
1976-5517,1011-2367	1011-2367	1958568
2159-0850,1011-3436	1011-3436	15752232
1423-0372,1011-6125	1011-6125	26841815
1664-2899,1011-6877	1011-6877	15765138
1598-6357,1011-8934	1011-8934	24039955
2092-9382,1011-8942	1011-8942	26841926
2408-8374,1011-9981	1011-9981	27717652
2223-7895,1012-2346	1012-2346	15758999
2224-7890,1012-277X	1012-277X	15755803
2504-2416,1012-8204	1012-8204	27710510
2215-4744,1012-9790	1012-9790	27716648
2529-802X,1013-2511	1013-2511	15752415
2163-7660,1013-7548	1013-7548	15760326
2005-3894,1013-9087	1013-9087	26842098
2159-9130,1013-929X	1013-929X	15750081
2076-4022,1014-2339	1014-2339	15756191
1423-0283,1014-8221	1014-8221	26839454
2078-516X,1015-5163	1015-5163	15755975
2151-2426,1015-5759	1015-5759	15750169
2313-7835,1015-7999	1015-7999	15762440
2222-3436,1015-8812	1015-8812	15762760
2251-6840,1016-1430	1016-1430	15761342
2465-8545,1016-2283	1016-2283	15762364
1664-2902,1016-264X	1016-264X	29043972
2034-6786,1016-4286	1016-4286	15750277
1865-9438,1016-4987	1016-4987	722773
1308-4488,1016-5169	1016-5169	26842447
2223-3741,1016-913X	1016-913X	15752743
2311-5734,1016-9148	1016-9148	5398697
