title	publisher	1	2
Next Generation Building	Baltzer Science Publishers	2213-4433	2213-4425
The Korean Journal of International and Comparative Law	Brill Academic Publishers	2213-4484	2213-4476
European Journal of Comparative Law and Governance	Brill Academic Publishers	2213-4514	2213-4506
Bijzijn XL	Springer-Verlag	2213-4565	2211-6524
Vulcan	Brill Academic Publishers	2213-4603	2213-459X
Journal of Jewish Languages	Brill Academic Publishers	2213-4638	2213-4387
Revue d Oncologie Hématologie Pédiatrique	Elsevier	2213-4670	
Applied Clinical Research Clinical Trials and Regulatory Affairs	Bentham Science	2213-476X	
Toegepaste Taalwetenschap in Artikelen	John Benjamins Publishing Company	2213-4883	0169-7420
Art & Perception	Brill Academic Publishers	2213-4913	2213-4905
The International Sports Law Journal	Springer-Verlag	2213-5154	1567-7559
Current Bionanotechnology	Bentham Science	2213-5294	
Woman - Psychosomatic Gynaecology and Obstetrics	Elsevier	2213-560X	
Acta Geodaetica et Geophysica	Springer-Verlag	2213-5820	2213-5812
Case Studies on Transport Policy	Elsevier	2213-624X	
International Journal of Epilepsy	Georg Thieme Verlag KG	2213-6320	
Rural China	Brill Academic Publishers	2213-6746	2213-6738
Synergy	Elsevier	2213-7130	
Springer Science Reviews	Springer-Verlag	2213-7793	
Technology Transfer and Entrepreneurship	Bentham Science	2213-8099	
Abgadiyat	Brill Academic Publishers	2213-8609	1687-8280
International Journal of Chinese Linguistics	John Benjamins Publishing Company	2213-8714	2213-8706
Cognitive Linguistic Studies	John Benjamins Publishing Company	2213-8730	2213-8722
Journal of Microscopy and Ultrastructure	Medknow Publications	2213-879X	
Medical Photonics	Elsevier	2213-8846	
Wound Medicine	Elsevier	2213-9095	
International Journal of Dental Science and Research	Elsevier	2213-9974	
UMK Procedia	Elsevier	2214-0115	
Biomarkers and Genomic Medicine	Elsevier	2214-0247	
Revista Brasileira de Cardiologia Invasiva (English Edition)	Elsevier	2214-1235	
Trends in Environmental Analytical Chemistry	Elsevier	2214-1588	
International Journal of Marine Energy	Elsevier	2214-1669	
Journal of Patient Safety & Infection Control	Medknow Publications	2214-207X	
Vehicular Communications	Elsevier	2214-2096	
Journal of Information Security and Applications	Elsevier	2214-2126	
Central Asian Affairs	Brill Academic Publishers	2214-2290	2214-2282
Asiascape Digital Asia	Brill Academic Publishers	2214-2312	2214-2304
Tijdschrift voor Neuropsychiatrie en Gedragsneurologie	Springer-Verlag	2214-2401	2214-2398
Aquatic Procedia	Elsevier	2214-241X	
GeoResJ	Elsevier	2214-2428	
Journal of Mathematical Modelling and Algorithms in Operations Research	Springer-Verlag	2214-2495	2214-2487
Food Packaging and Shelf Life	Elsevier	2214-2894	
Complexity Governance & Networks	Baltzer Science Publishers	2214-3009	2214-2991
Medicina e Investigación	Elsevier	2214-3106	
International Journal of Language and Culture	John Benjamins Publishing Company	2214-3165	2214-3157
Transportation Geotechnics	Elsevier	2214-3912	
Review of Religion and Chinese Society	Brill Academic Publishers	2214-3955	2214-3947
Case Studies in Fire Safety	Elsevier	2214-398X	
Case Studies in Structural Engineering	Elsevier	2214-3998	
Journal of High Energy Astrophysics	Elsevier	2214-4048	
Journal of Reproductive Health and Medicine	Elsevier	2214-420X	
Ecclesial Practices	Brill Academic Publishers	2214-4471	2214-4463
Revue Vétérinaire Clinique	Elsevier	2214-5672	
Netherlands Yearbook for History of Art / Nederlands Kunsthistorisch Jaarboek	Brill Academic Publishers	2214-5966	0169-6726
Journal of Clinical and Translational Endocrinology Case Reports	Elsevier	2214-6245	
Translational Science of Rare Diseases	IOS Press	2214-6512	2214-6490
Journal of Water Process Engineering	Elsevier	2214-7144	
Journal of African Trade	Elsevier	2214-8515	
Nederlands Tijdschrift voor Traumachirurgie	Springer-Verlag	2214-8744	2214-8736
Philosophical Constructs for the Chiropractic Profession	Elsevier	2214-9163	
Journal of Arthroscopy and Joint Surgery	Elsevier	2214-9635	
Sustainable Materials and Technologies	Elsevier	2214-9937	
Journal of Sports Analytics	IOS Press	2215-0218	2215-020X
Colloids and Interface Science Communications	Elsevier	2215-0382	
Recent Advances in Communications and Networking Technology	Bentham Science	2215-0811	
Current Traditional Medicine	Bentham Science	2215-0838	
Asia-Pacific Language Variation	John Benjamins Publishing Company	2215-1362	2215-1354
Journal of Industrial Engineering and Management Innovation	Atlantis Press	2215-1370	
International Journal of Learner Corpus Research	John Benjamins Publishing Company	2215-1486	2215-1478
Open Access Advocate	Boom Uitgevers Den Haag	2215-1516	
Environmental Nanotechnology Monitoring & Management	Elsevier	2215-1532	
Journal of Second Language Pronunciation	John Benjamins Publishing Company	2215-194X	2215-1931
Gestión de la educación	Universidad de Costa Rica	2215-2288	
InterSedes	Universidad de Costa Rica	2215-2458	
Siwo Revista de Teología	Universidad Nacional de Costa Rica	2215-2482	2215-227X
Revista Forestal Mesoamericana Kurú	Instituto Tecnologico de Costa Rica	2215-2504	
Revista Geográfica de América Central	Universidad Nacional de Costa Rica	2215-2563	1011-484X
Revista de Ciencias Sociales	Universidad de Costa Rica	2215-2601	0482-5276
Revista de Filología y Lingüística de la Universidad de Costa Rica	Universidad de Costa Rica	2215-2628	0377-628X
Revista Ingeniería	Universidad de Costa Rica	2215-2652	1409-2441
Revista Ensayos Pedagógicos	Universidad Nacional de Costa Rica	2215-3330	1659-0104
Nutrición Animal Tropical	Universidad de Costa Rica	2215-3527	
REVISTA PRAXIS	Universidad Nacional de Costa Rica	2215-3659	1409-309X
Revista Nuevo Humanismo	Universidad Nacional de Costa Rica	2215-4078	1405-0234
Política Económica para el Desarrollo Sostenible	Universidad Nacional de Costa Rica	2215-4167	
Relaciones Internacionales	Universidad Nacional de Costa Rica	2215-4582	1018-0583
ÍSTMICA Revista de la Facultad de Filosofía y Letras	Universidad Nacional de Costa Rica	2215-471X	1023-0890
Perspectivas	Universidad Nacional de Costa Rica	2215-4728	1409-3669
Universidad en Diálogo Revista de Extensión	Universidad Nacional de Costa Rica	2215-4752	2215-2849
Aglala	Corporacion Universitaria Rafael Nunez	2215-7360	
Erg omnes	Corporacion Universitaria Rafael Nunez	2215-7379	1909-4027
Cuadernos de Desarrollo Rural	Editorial Pontificia Universidad Javeriana	2215-7727	0122-1450
Voces y Silencios Revista Latinoamericana de Educación	Universidad de los Andes - Centro de Investigacion y Formacion en Educacion (CIFE)	2215-8421	
Academia & Derecho	Universidad Libre	2215-8944	
Boletín Científico CIOH	Direccion General Maritima - DIMAR	2215-9045	0120-0542
CES Medicina	Universidad CES	2215-9177	0120-8705
Cuadernos de Música Artes Visuales y Artes Escénicas	Editorial Pontificia Universidad Javeriana	2215-9959	1794-6670
Ingeniería y Región	Universidad Surcolombiana	2216-1325	1657-6985
Justicia juris	Universidad Autonoma del Caribe	2216-1341	1692-8571
Forum Revista Departamento Ciencia Política	Universidad Nacional de Colombia	2216-1775	
Procesna tehnika	Union of Mechanical and Electrotechnical Engineers and Technicians of Serbia (SMEITS)	2217-2319	
Economic Themes	Walter de Gruyter GmbH	2217-3668	
Civitas (Novi Sad)	Centre for Evaluation in Education and Science	2217-4958	
Ekonomija teorija i praksa	Centre for Evaluation in Education and Science	2217-5458	
Scientific Publications of the State University of Novi Pazar Series A Applied Mathematics Informatics and mechanics	Centre for Evaluation in Education and Science	2217-5539	
Читалиште	Faculty of Philosophy, University of Novi Sad	2217-5563	2217-5555
International Journal for Traffic and Transport Engineering	City Net Scientific Research Center, Ltd. Belgrade	2217-5652	2217-544X
Facta universitatis - series Electronics and Energetics	National Library of Serbia	2217-5997	0353-3670
Safety Engineering	Faculty of Occupational Safety, University of Nis	2217-7124	
Socioeconomica	The Scientific Society Akroasis	2217-7558	2334-9670
Књиженство часопис за студије књижевности рода и културе	Faculty of Philology, University of Belgrade	2217-7809	
Journal of Economy and its Applications	Walter de Gruyter GmbH	2217-7973	
Singidunum Journal of Applied Sciences	Centre for Evaluation in Education and Science	2217-8090	
ZBORNIK ZA JEZIKE I KNJIŽEVNOSTI FILOZOFSKOG FAKULTETA U NOVOM SADU	Faculty of Philosophy, University of Novi Sad	2217-8546	2217-7221
Ekonomski izazovi	Centre for Evaluation in Education and Science	2217-8821	
Journal of Research in Physics	De Gruyter Open Sp. z o.o.	2217-933X	1450-7404
Infotheca - Journal for Digital Humanities	Faculty of Philology, University of Belgrade	2217-9461	1450-9687
Savremene tehnologije	Centre for Evaluation in Education and Science	2217-9712	
Iraqi Journal of Embryos and Infertility Researches	Iraqi Journal of Embryos and Infertility Researches	2218-0265	
International Arab Journal of Dentistry	Al Manhal FZ, LLC	2218-0885	
Обзорный журнал по химии	Pleiades Publishing	2218-1148	
Мембраны и Мембранные технологии	Pleiades Publishing	2218-1172	
Journal of Experimental Sciences	Update Publishing	2218-1768	
Cognition communication discourse	V. N. Karazin Kharkiv National University	2218-2926	
International Journal of Transactional Analysis Research & Practice	International Journal of Transacional Analysis Research and Practice	2218-3159	
Upravlenets	Ural State University of Economics	2218-5003	
Law of the Sea Bulletin	United Nations Publications	2218-6018	
World Journal of Anesthesiology	Baishideng Publishing Group Co (World Journal of Anesthesiology)	2218-6182	
World Journal of Dermatology	Baishideng Publishing Group Co (World Journal of Dermatology)	2218-6190	
World Journal of Hematology	Baishideng Publishing Group Co (World Journal of Hematology)	2218-6204	
World Journal of Neurology	Baishideng Publishing Group Co (World Journal of Neurology)	2218-6212	
World Journal of Ophthalmology	Baishideng Publishing Group Co (World Journal of Opthalmology)	2218-6239	
World Journal of Stomatology	Baishideng Publishing Group Co (World Journal of Stomatology)	2218-6263	
الفكر الشرطي	Al Manhal FZ, LLC	2218-7073	1681-5297
Religions A Scholarly Journal	Hamad bin Khalifa University Press (HBKU Press)	2218-7480	
International Journal of Mathematics and Physics	al-Farabi Kazakh National University	2218-7987	
Proceedings of OilGasScientificResearchProjects Institute SOCAR	Oil Gas Scientific Research Project Institute	2218-8622	2218-6867
ARS ADMINISTRANDI (Искусство управления)	Perm State University (PSU)	2218-9173	
Znanie Ponimanie Umenie	Moscow University for the Humanities	2218-9238	1998-9873
Modeling of systems and processes	Infra-M Academic Publishing House	2219-0767	
Научная перспектива	Science and Education, Ltd.	2219-1437	
مجلة الدراسات الفلسطينية	Al Manhal FZ, LLC	2219-2077	
Fiscal Monitor	International Monetary Fund	2219-2778	2219-276X
World Journal of Clinical Urology	Baishideng Publishing Group Co (World Journal of Clinical Urology)	2219-2816	
World Journal of Surgical Procedures	Baishideng Publishing Group Co (World Journal of Surgical Procedures)	2219-2832	
Bangladesh Journal of Anatomy	Bangladesh Journals Online	2219-3049	1817-065X
Вестник Пермского университета История	Perm State University (PSU)	2219-3111	
Vision Pan-America The Pan-American Journal of Ophthalmology	Pan-American Association of Ophthalmology	2219-4673	2219-4665
Main Economic Indicators	Organisation for Economic Co-Operation and Development	2219-5009	2219-4991
Principaux indicateurs économiques	Organisation for Economic Co-Operation and Development	2219-5025	2219-5017
Monthly Statistics of International Trade	Organisation for Economic Co-Operation and Development	2219-5033	
International Trade by Commodity Statistics	Organisation for Economic Co-Operation and Development	2219-5076	2219-5068
Statistiques du commerce international par produit	Organisation for Economic Co-Operation and Development	2219-5092	2219-5084
Quarterly National Accounts	Organisation for Economic Co-Operation and Development	2219-5114	2219-5106
Comptes nationaux trimestriels	Organisation for Economic Co-Operation and Development	2219-5130	2219-5122
Statistiques mensuelles du commerce international	Organisation for Economic Co-Operation and Development	2219-5327	
Fruit growing and viticulture of South Russia	FSBSI No. Caucasian FSC of Horticulture, Viticulture, and Wine Making	2219-5335	
Historical and social-educational ideas	Historical and Social Educational Ideas	2219-6048	2075-9908
General Mathematics Notes	Science and Education, Ltd.	2219-7184	
The Advanced Science Journal	Scireps Corporation	2219-7478	2219-746X
Journal of Dhaka Medical College	Bangladesh Journals Online	2219-7494	1028-0928
Medical Herald of the South of Russia	Rostov State Medical University	2219-8075	
Perspectives in International Librarianship	Hamad bin Khalifa University Press (HBKU Press)	2219-8962	
Diyala Journal of Medicine	Diyala Journal of Medicine	2219-9764	
Journal of Endocrinology Metabolism and Diabetes of South Africa	Informa UK (Taylor & Francis)	2220-1009	1608-9677
Southern African Journal of Gynaecological Oncology	Informa UK (Taylor & Francis)	2220-105X	2074-2835
Southern African Journal of Anaesthesia and Analgesia	Informa UK (Taylor & Francis)	2220-1173	2220-1181
Journal of the Bangladesh Association of Young Researchers	Bangladesh Journals Online	2220-119X	1991-0746
International Journal of Machine Learning and Applications	AOSIS	2220-2196	
Qatar Foundation Annual Research Forum Proceedings	Hamad bin Khalifa University Press (HBKU Press)	2220-251X	
Aswan Heart Centre Science & Practice Series	Hamad bin Khalifa University Press (HBKU Press)	2220-2730	
Avicenna	Hamad bin Khalifa University Press (HBKU Press)	2220-2749	
Contemporary Islamic Studies	Hamad bin Khalifa University Press (HBKU Press)	2220-2757	
Sustainable Technologies Systems & Policies	Hamad bin Khalifa University Press (HBKU Press)	2220-2765	
Вестник Санкт-Петербургского государственного университета культуры и искусств	Science and Education, Ltd.	2220-3044	
Clinical Practice	ECO-Vector	2220-3095	
World Journal of Medical Genetics	Baishideng Publishing Group Co (World Journal of Medical Genetics)	2220-3184	
PROGRAMMNAYA INGENERIA	New Technologies Publishing House	2220-3397	
ТОРГОВОЕ ДЕЛО ТОРГОВОЕ ПРАВО	Science and Education, Ltd.	2220-3680	
Bangladesh Journal of Plastic Surgery	Bangladesh Journals Online	2220-4199	
Current Botany	Update Publishing	2220-4822	
St Tikhons University Review Series V Christian Art	St. Tikhon's Orthodox University	2220-5098	
Proceedings of the Institute for System Programming of RAS	Institute for System Programming of the Russian Academy of Sciences	2220-6426	2079-8156
The world of new economy	Financial University under the Government of the Russian Federation	2220-6469	
Вектор науки ТГУ	Science and Education, Ltd.	2220-7457	
Nanosystems Physics Chemistry Mathematics	ITMO University	2220-8054	
The International Journal of Excellence in Islamic Banking and Finance	Al Manhal FZ, LLC	2220-8291	
International Journal of New Computer Architectures and their Applications	The Society of Digital Information and Wireless Communications (SDIWC)	2220-9085	
Staff Discussion Notes	International Monetary Fund	2221-030X	
International Journal of Natural Sciences	Bangladesh Journals Online	2221-1020	2221-1012
Vestnik of Institute of Geology of Komi Science Center of Ural Branch RAS	IG Komi SC UB RAS	2221-1381	
VESTNIK INSTITUTA SOTZIOLOGII	Federal Center of Theoretical and Applied Sociology of the Russian Academy of Sciences (FCTAS RAS)	2221-1616	
New university Natural Sciences	Colloquim	2221-2345	
Journal of Visualized Surgery	AME Publishing Company	2221-2965	
IABSE Symposium Report	International Association for Bridge and Structural Engineering	2221-3783	
IABSE Congress Report	International Association for Bridge and Structural Engineering	2221-3791	
ELECTRICAL AND COMPUTER SYSTEMS	Odessa National Polytechnic University	2221-3805	2221-3937
Educational Research for Social Change	Academy of Science of South Africa	2221-4070	
Ethiopian Veterinary Journal	African Journals Online	2221-5034	1683-6324
V N Karazin Kharkiv National University Ser Mathematics Applied Mathematics and Mechanics	V. N. Karazin Kharkiv National University	2221-5646	
Vektor nauki Tol yattinskogo gosudarstvennogo universiteta Seriya Pedagogika i psihologiya	Togliatti State University	2221-5662	
Vektor nauki Tol yattinskogo gosudarstvennogo universiteta Seriya Ekonomika i upravlenie	Togliatti State University	2221-5689	
Población y Desarrollo - Argonautas y caminantes	Latin America Journals Online	2221-7002	
Cardiosomatics	MediaMedica	2221-7185	
NEW UNIVERSITY ECONOMICS & LAW	Colloquim	2221-7347	
Innovations in lifelong learning	Science and Education, Ltd.	2221-8475	
ACTA IMEKO	IMEKO International Measurement Confederation	2221-870X	
New in Ophthalmology № 2 2017	Publishing House Ophthalmology	2221-9528	
The Russian Academic journal	SRI Institute of Political and Mediametric Studies IPMS	2221-9544	
NEW UNIVERSITY TECHNICAL SCIENCES	Colloquim	2221-9552	
BIOpreparations Prevention Diagnosis Treatment	SCEEMP	2221-996X	
Russian Journal of Innovation Economics	BIBLIO-GLOBUS Publishing House	2222-0372	
Vestnik Tomskogo gosudarstvennogo universiteta Kul turologiya i iskusstvovedenie	Tomsk State University	2222-0836	
NEW UNIVERSITY TOPICAL ISSUES OF HUMANITIES AND SOCIAL SCIENCES	Colloquim	2222-1484	
Научный журнал Российского НИИ проблем мелиорации	Science and Education, Ltd.	2222-1816	
Public and Municipal Finance	LLC CPC Business Perspectives	2222-1875	2222-1867
Культура и искусство	NB-Media, Ltd.	2222-1956	
Полицейская деятельность	NB-Media, Ltd.	2222-1964	
Исторический журнал научные исследования	NB-Media, Ltd.	2222-1972	
World Applied Programming	TI Journals	2222-2510	
Economía y Administración (E&A)	Latin America Journals Online	2222-2707	2219-6722
Pakistan Journal of Chemistry	Pakistan Journal of Chemistry	2222-307X	2220-2625
Математические вопросы криптографии	Steklov Mathematical Institute	2222-3193	2220-2617
International Journal of Emerging Sciences	Science and Education, Ltd.	2222-4254	
البصيرة	Al Manhal FZ, LLC	2222-4548	
Journal of Economics Entrepreneurship and Law	BIBLIO-GLOBUS Publishing House	2222-534X	
Бюллетень Ботанического сада ДВО РАН	Botanical Garden - Institute of the Far Eastern Branch of the RAS	2222-5579	
Journal of Early Christian History	Informa UK (Taylor & Francis)	2222-582X	
Asian Economic and Financial Review	Pak Publishing Group	2222-6737	2305-2147
International Journal of Academic Research in Business and Social Sciences	Human Resource Management Academic Research Society	2222-6990	
Russian Electronic Journal of Radiology	ANO NCR	2222-7415	
Forestry Engineering Journal	Infra-M Academic Publishing House	2222-7962	
Diyala Journal for Pure Science	University of Diyala, College of Science	2222-8373	
Вестник АПК Ставрополья	Science and Education, Ltd.	2222-9345	
Problemy ucheta i finansov	Tomsk State University	2222-9388	
Modern Problems of Russian Transport Complex	Nosov Magnitogorsk State Technical University	2222-9396	
Современное машиностроение	Science and Education, Ltd.	2223-0807	
Ibrahim Cardiac Medical Journal	Bangladesh Journals Online	2223-0971	2223-0963
Journal of Asian Scientific Research	Pak Publishing Group	2223-1331	2226-5724
Известия Юго-Западного государственного университета	Science and Education, Ltd.	2223-1560	
Vestnik Immanuel Kant Baltic Federal University	Immanuel Kant Baltic Federal University	2223-2095	
Scientific Bulletin of National Mining University	International Society of Philosophy and Cosmology	2223-2362	2071-2227
Sports medicine research and practice	Kniga - Service Agency Ltd.	2223-2524	
Khazar Journal of Humanities and Social Sciences	Khazar University Press	2223-2621	
Современная наука Естественные и технические науки	Science and Education, Ltd.	2223-2966	
Portal de la Ciencia	Latin America Journals Online	2223-3059	
Барометр меҗдународного туризма ЮНВТО	World Tourism Organization (UNWTO)	2223-3199	2223-3164
Machine Learning and Data Analysis	Computing Centre of the Russian Academy of Sciences	2223-3792	
Socio-Economic Problems and the State	Centre of Sociological Research, NGO	2223-3822	
Arctic Ecology and Economy	IBRAE RAN	2223-4594	
Science intensive technologies in mechanical engineering	Infra-M Academic Publishing House	2223-4608	
Vestnik OrelGAU	Central Collector of Libraries BIBCOM	2223-4802	1990-3618
Современные научные исследования и инновации	Science and Education, Ltd.	2223-4888	
On-line Journal Naukovedenie	Publishing Centre Naukovedenie	2223-5167	
Herald of the Belgorod University of Cooperation Economics and Law	Belgorod University of Cooperation, Economics and Law	2223-5639	
Vestnik of Saint Petersburg University Psychology and Education	Saint Petersburg State University	2223-5760	
Oman Chapter of Arabian Journal of Business and Management Review	Al Manhal FZ, LLC	2223-5833	
Bangladesh Journal of Library and Information Science	Bangladesh Journals Online	2223-6368	
Общество политика экономика право	HORS Publishing House, LLC	2223-6392	2071-9701
Общество социология психология педагогика	HORS Publishing House, LLC	2223-6430	2221-2795
Общество философия история культура	HORS Publishing House, LLC	2223-6449	2221-2787
Clinical Health Promotion - Research and Best Practice	Clinical Health Promotion Centre	2223-7399	2226-5864
Vestnik of the Railway Research Institute	JSC Vniizht	2223-9731	
International Journal of Automation and Smart Technology	International Journal of Automation and Smart Technology	2223-9766	
Scientia Militaria South African Journal of Military Studies	Stellenbosch University - Scientia Militaria	2224-0020	1022-8136
Приволжский научный вестник	Science and Education, Ltd.	2224-0179	
Bulletin of the Moscow State Regional University	Moscow Regional State University	2224-0209	
Hadhramout Journal of Medical Sciences	Al Manhal FZ, LLC	2224-1086	
Hematologia	Science Alert	2224-1566	
Журнал Ф&#1240 Н-НАУКА	Science and Education, Ltd.	2224-1744	
Профессиональное образование в современном мире	Publishing House SB RAS	2224-1841	
International Journal of Oceanography and Marine Ecological System	Science Alert	2224-249X	
Journal of Pharmacy and Allied Health Sciences	Science Alert	2224-2503	
Geochemical Perspectives	European Association of Geochemistry	2224-2759	2223-7755
Journal of Food Resource Science	Science Alert	2224-3550	
Cultura	Universidad de San Martin de Porres	2224-3585	1817-0285
Journal of Translational Internal Medicine	Walter de Gruyter GmbH	2224-4018	
Asian Journal of Empirical Research	Pak Publishing Group	2224-4425	2306-983X
Asian Journal of Agriculture and Rural Development	Pak Publishing Group	2224-4433	2304-1455
International Journal of Asian Social Science	Pak Publishing Group	2224-4441	2226-5139
Oil and Gas Facilities	Society of Petroleum Engineers	2224-4514	
The Way Ahead	Society of Petroleum Engineers	2224-4522	
GANIT Journal of Bangladesh Mathematical Society	Bangladesh Journals Online	2224-5111	1606-3694
Sarhad Journal of Agriculture	Research Links Ltd.	2224-5383	1016-4383
Ciencia y Arte de Enfermería	Consejo Regional III Lima Metropolitana	2224-7246	
The International Journal of Environmental Protection	The World Academic Publishing	2224-7777	2226-6437
The Communications in Information Science and Management Engineering	The World Academic Publishing	2224-7785	2222-1859
Tydskrif vir Geesteswetenskappe	Academy of Science of South Africa	2224-7912	0041-4751
Journal of the European Pentecostal Theological Association	Maney Publishing	2224-7963	1812-4461
Kuwait Chapter of Arabian Journal of Business and Management Review	Al Manhal FZ, LLC	2224-8358	
ASEAN Journal on Science and Technology for Development	UGM Press	2224-9028	0217-5460
PNRPU Bulletin Chemical Technology and Biotechnology	PNRPU Publishing Office	2224-9400	
International Current Pharmaceutical Journal	Bangladesh Journals Online	2224-9486	
PNIPU Bulletin The mechanical engineering materials science	PNRPU Publishing Office	2224-9877	
PNRPU Mechanics Bulletin	PNRPU Publishing Office	2224-9893	
Вестник Пермского национального исследовательского политехнического университета Геология Нефтегазовое и горное дело	PNRPU Publishing Office	2224-9923	
Bulletin of PNRPU Culture History Philosophy Law	PNRPU Publishing Office	2224-9974	
Advances in Physics Theories and Applications	International Institute for Science, Technology and Education	2225-0638	
Public Policy and Administration Research	International Institute for Science, Technology and Education	2225-0972	
The Mediterranean Journal of Emergency Medicine	New Health Concept sal	2225-1006	2222-9442
Journal of Integrative Nephrology and Andrology	Medknow Publications	2225-1243	
International Journal of Multimedia Technology	The World Academic Publishing	2225-1456	
Studies of Changing Societies	De Gruyter Open Sp. z o.o.	2225-2215	
Tochki nad yo	Content Press and Scientific Publishing	2225-2258	
Scientific Works of National University of Food Technologies	National University of Food Technologies	2225-2924	
Vestnik Tomskogo gosudarstvennogo universiteta Pravo	Tomsk State University	2225-3513	
International Journal of Thermal and Fluid Sciences	Science Alert	2225-3556	
Journal of Asian Business Strategy	Pak Publishing Group	2225-4226	2309-8295
Физические основы приборостроения	Scientific and Technological Center of Unique Instrumentation of RAS	2225-4293	
Slovo ru Baltic accent	Immanuel Kant Baltic Federal University	2225-5346	
International Islamic Marketing Association Journal	Al Manhal FZ, LLC	2225-5850	
Theory and practice of jurisprudence	Yaroslav Mudryi National Law University	2225-6555	
International Journal of Energy Engineering	The World Academic Publishing	2225-6571	2225-6563
International Journal of Digital Information and Wireless Communications	The Society of Digital Information and Wireless Communications (SDIWC)	2225-658X	
Journal of Control Engineering and Technology	American V-King Scientific Publishers	2225-6598	2223-2036
OPTIMA Newsletter	Fondazione Pro Herbario Mediterraneo	2225-6970	0376-5016
De Jure	Academy of Science of South Africa	2225-7160	1466-3597
Journal of Anatomy and Histopathology	VSMU N.N. Burdenko	2225-7357	
Revista Estomatológica Herediana	Universidad Peruana Cayetano Heredia	2225-7616	1019-4355
Journal of Public and Municipal Administration	Infra-M Academic Publishing House	2225-8272	
Актуальные вопросы публичного права	Science and Education, Ltd.	2225-8299	
International Journal of Academic Research in Accounting Finance and Management Sciences	Human Resource Management Academic Research Society	2225-8329	
South African Journal of Geomatics	African Journals Online	2225-8531	
Journal of Academic Writing	Coventry University, Lanchester Library	2225-8973	
Urologicheskie vedomosti	ECO-Vector	2225-9074	
Islami Bank Medical College Journal	Bangladesh Journals Online	2225-9171	
Journal of Local and Global Health Perspectives	Hamad bin Khalifa University Press (HBKU Press)	2225-9228	
The Research of the Science City	TP National Information Satellite System	2225-9449	
Philosophy of Science and Technology	Institute of Philosophy, Russian Academy of Sciences	2225-9783	
Вестник Науки Сибири	Science and Education, Ltd.	2226-0064	
Monitoring of Law Enforcement	I.E. Makarenko GI	2226-0692	
Herald of Civil Procedure	PH V. Ema	2226-0781	
Compendio de Ciencias Veterinarias	Instituto de Investigaciones en Ciencias de la Salud	2226-1761	
Agroindustrial science	Scientia Agropecuaria	2226-2989	
International Journal of Nuclear Energy Science and Engineering	Science and Engineering Publishing, Co.	2226-3217	
Novosibirsk State Pedagogical University Bulletin	Novosibirsk State Pedagogical University	2226-3365	
International Interdisciplinary Journal of Education	Al Manhal FZ, LLC	2226-3500	2226-2717
International Journal of Academic Research in Economics and Management Sciences	Human Resource Management Academic Research Society	2226-3624	
Revista Internacional de Investigación en Ciencias Sociales	Instituto de Investigaciones en Ciencias de la Salud	2226-4000	
International Journal of Remote Sensing Application	Science and Engineering Publishing, Co.	2226-4353	
Physical and Chemical Aspects of the Study of Clusters Nanostructures and Nanomaterials	Tver State University	2226-4442	
International Journal of Computer Science and Artificial Intelligence	The World Academic Publishing	2226-4469	2226-4450
Open Journal of Implant Dentistry	AOSIS	2226-4507	
International Journal of Life Science and Medical Research	The World Academic Publishing	2226-4558	2226-4566
International Journal of Economics Business and Management Studies	Asian Educational Journal Publishing Group	2226-4809	
Journal of Shaheed Suhrawardy Medical College	Bangladesh Journals Online	2226-5368	
Современные проблемы математики	Steklov Mathematical Institute	2226-5937	2226-5929
Международное право и международные организации / International Law and International Organizations	NB-Media, Ltd.	2226-6305	
International Journal of Academic Research in Progressive Education and Development	Human Resource Management Academic Research Society	2226-6348	
Rwanda Journal of Health Sciences	African Journals Online	2226-728X	
International Journal of E-Business Development	The World Academic Publishing	2226-7336	2225-7411
International Journal of Economics and Management Engineering	The World Academic Publishing	2226-7344	2225-742X
On-line Scientific & Educational Bulletin “Health & education millennium”	Network of Young Doctors and Health Administrators	2226-7417	
Humanities Bulletin of the University of Finance	Infra-M Academic Publishing House	2226-7867	
Digital Medicine	Medknow Publications	2226-8561	
Лекционные курсы НОЦ	Steklov Mathematical Institute	2226-8804	2226-8782
Community Based Medical Journal	Bangladesh Journals Online	2226-9290	
QScience Proceedings	Hamad bin Khalifa University Press (HBKU Press)	2226-9649	
Nauchnyy dialog	OOO Centr naucnyh i obrazovatelnyh proektov	2227-1295	2225-756X
Revista de Comunicación	Universidad de Piura	2227-1465	1684-0933
Advances in Astronomy and Space Physics	Taras Shevchenko National University of Kyiv	2227-1481	
HAMDAN MEDICAL JOURNAL	Hamdan Medical Journal	2227-247X	2227-2437
Education and Pedagogical Sciences	State Institution Luhansk Taras Shevchenko National University	2227-281X	2227-2747
Proceedings of the Asia-Pacific Advanced Network	Proceedings of the Asia-Pacific Advanced Network	2227-3026	
Journal of Modern Mathematics Frontier	Science and Engineering Publishing, Co.	2227-3751	
Voprosy leksikografii	Tomsk State University	2227-4200	
International Journal of Applied Mathematical Research	Science Publishing Corporation	2227-4324	
Journal of Advanced Computer Science & Technology	Science Publishing Corporation	2227-4332	
Journal of Civil Engineering and Science	The World Academic Publishing	2227-4626	2227-4634
International Journal of Advanced Nursing Studies	Science Publishing Corporation	2227-488X	
International Journal of Basic and Applied Sciences	Science Publishing Corporation	2227-5053	
Journal of Central South University	Springer-Verlag	2227-5223	2095-2899
