issns	missing _issn	Q				
2451-2699,0370-0747	2451-2699	26842333
2382-4980,0370-3908	2382-4980	6107120
2204-0293,0372-1426	2204-0293	15767111
1521-3749,0372-7874	0372-7874	186776
1522-2624,0372-851X	0372-851X	3046580
1522-2624,0372-851X	0372-851X	3046580
1522-2624,0372-9702	0372-9702	3046580
1522-2624,0372-9702	0372-9702	3046580
2281-9282,0373-3491	2281-9282	21385460
2109-9529,0373-5478	2109-9529	15767354
1961-8603,0373-5834	1961-8603	2933109
2507-0185,0373-6075	2507-0185	15762509
2305-2899,0374-1990	2305-2899	4493429
1522-239X,0374-6577	0374-6577	5643138
2382-5812,0374-7859	2382-5812	6144504
2221-4062,0375-1589	2221-4062	15763241
1805-9392,0375-8427	1805-9392	15752611
1935-0554,0375-9210	1935-0554	24039112
1827-613X,0375-930X	0375-930X	29043778
0975-5977,0376-9836	0975-5977	6020500
0974-780X,0377-2063	0974-780X	15762363
2215-4175,0377-7316	2215-4175	27716594
2224-7238,0377-9238	2224-7238	15758133
2383-9457,0377-9556	2383-9457	15753292
1308-2523,0377-9777	1308-2523	27713694
1423-016X,0378-0392	1423-016X	27712015
1564-9148,0378-5548	1564-9148	15716344
1564-9121,0378-5599	1564-9121	15716344
2211-5757,0378-7869	2211-5757	18021063
2296-4096,0378-7931	2296-4096	3045490
2107-0180,0378-7966	2107-0180	15757261
0378-8652,1728-015X	1728-015X	27715797
1810-536X,0378-8660	1810-536X	1453509
0974-4576,0378-9519	0974-4576	21385842
1752-1726,0379-0282	1752-1726	6053235
1752-1718,0379-0312	1752-1718	15750880
2234-8077,0379-153X	2234-8077	15760246
1841-7744,0379-4024	1841-7744	15441783
2067-1865,0379-5837	0379-5837	50815290
2225-4765,0379-8046	2225-4765	15764271
2504-2505,0379-8305	2504-2505	27710707
2223-6279,0379-8577	2223-6279	15749630
1927-629X,0380-1489	1927-629X	5030601
1880-408X,0385-0110	1880-408X	15761048
1346-8138,0385-2407	1346-8138	18225322
1882-577X,0385-5716	1882-577X	15755706
1884-0035,0385-6410	1884-0035	27719502
1349-6964,0385-7417	1349-6964	27718972
1881-5685,0386-2186	1881-5685	15752370
1883-8995,0386-9113	1883-8995	15817569
2186-2753,0387-1061	2186-2753	15746162
2186-5132,0387-3374	2186-5132	15817863
1884-569X,0387-5911	1884-569X	27711542
1881-0888,0387-754X	1881-0888	15753453
2187-2864,0387-821X	2187-2864	26839425
1880-3989,0388-1350	1880-3989	15724546
2185-3509,0388-2861	2185-3509	15757967
1884-4758,0388-3051	1884-4758	15817831
1881-7335,0388-788X	1881-7335	15759379
1972-5760,0390-0851	1972-5760	3487482
1826-9885,0390-5551	1826-9885	27715007
1972-5566,0390-6140	1972-5566	27718789
2210-5875,0391-3341	2210-5875	27715254
1972-5515,0391-6987	1972-5515	27716412
1126-5442,0392-0461	1126-5442	27711320
1972-554X,0392-5048	1972-554X	27718691
2037-6731,0393-5949	2037-6731	15754999
1573-3025,0393-5965	1573-3025	2189118
1824-3096,0393-9383	1824-3096	27718808
1953-8146,0395-2649	1953-8146	3098897
1776-3061,0397-7870	1776-3061	27716591
2108-6443,0399-0826	2108-6443	2850663
2299-8306,0423-104X	2299-8306	9253923
2185-5609,0424-7086	2185-5609	15766885
2504-2572,0425-1423	2504-2572	27710791
2284-4880,0429-288X	2284-4880	21386045
1953-8103,0439-4216	1953-8103	3203581
2159-3884,0440-730X	0440-730X	39476288
2328-1103,0440-9213	2328-1103	15759617
2159-3957,0441-6651	2159-3957	39476282
2186-0211,0446-6454	2186-0211	27719485
1540-627X,0447-2778	0447-2778	6295918
2326-2516,0449-010X	2326-2516	6189918
1542-6246,0449-2951	1542-6246	27714152
1542-9350,0449-296X	1542-9350	27711714
1542-6254,0449-2986	1542-6254	27711715
1881-3593,0451-4203	1881-3593	15754581
1884-1228,0453-0691	1884-1228	15762690
1883-7018,0454-1146	1883-7018	15757006
2391-4815,0464-1086	2391-4815	11786886
2353-1339,0465-5893	2353-1339	26853954
1349-8029,0470-8105	1349-8029	26842870
2164-3415,0486-3739	2164-3415	15816904
2539-472X,0486-6525	2539-472X	15764269
2080-4873,0500-7208	2080-4873	27719711
2411-2097,0507-4088	2411-2097	27713836
2366-0295,0514-2776	2366-0295	27716643
2386-3943,0514-7336	2386-3943	15765193
1661-4011,0517-8606	1661-4011	15764172
2346-8866,0518-3669	0518-3669	50817017
1820-6069,0534-0012	1820-6069	1852162
1309-6257,0535-8418	1309-6257	15764313
2185-291X,0536-3683	2185-291X	2348209
1881-4174,0544-2540	1881-4174	15757006
1883-8383,0546-1448	1883-8383	27727669
2060-8543,0546-8191	2060-8543	15755610
1848-865X,0547-2504	1848-865X	15759260
2189-4205,0549-3811	2189-4205	15760128
1884-2844,0549-4974	1884-2844	28841203
1338-4376,0551-3677	0551-3677	50814410
2353-3021,0552-4245	2353-3021	28674093
1587-3773,0553-6626	1587-3773	15754970
2316-9397,0556-5782	2316-9397	15762389
1988-2718,0556-6533	1988-2718	15767319
2105-2913,0556-7807	2105-2913	3428730
2117-5683,0557-7705	2117-5683	15766053
2305-3135,0564-6162	2305-3135	4679014
2328-1235,0569-4345	2328-1235	15766515
2041-4102,0570-6084	2041-4102	15760475
2341-1120,0570-7218	2341-1120	13146728
1573-8191,0571-7256	1573-8191	15759514
2396-9202,0578-6967	2396-9202	5973372
1958-5705,0585-5292	1958-5705	7628021
2507-0355,0585-5403	2507-0355	9347350
1847-117X,0586-0296	1847-117X	15764253
1745-1707,0586-7614	1745-1707	4049133
1547-3317,0587-2871	1547-3317	15762436
1749-6306,0590-8876	1749-6306	35387261
1848-9079,0590-9597	1848-9079	27722626
1708-5268,0701-1008	1708-5268	15749180
1918-5138,0703-0428	1918-5138	15762913
1715-2992,0706-0661	1715-2992	15751122
2369-7180,0709-5201	2369-7180	15749747
2291-2436,0710-0353	2291-2436	29043677
1929-610X,0712-2330	1929-610X	2933113
1923-2705,0712-8657	1923-2705	15750967
0719-8442,0716-7725	0719-8442	6107100
0719-0409,0717-1013	0717-1013	50814221
0719-2584,0719-2576	0719-2576	50814355
2366-2166,0720-1605	2366-2166	1255791
2198-0667,0720-3659	2198-0667	1517604
2197-0831,0720-6259	2197-0831	1320855
1438-9584,0722-348X	1438-9584	27715393
2364-933X,0722-480X	2364-933X	2381332
1615-6722,0723-5003	1615-6722	11776847
2365-9920,0723-5186	2365-9920	1404527
1433-8629,0723-8886	1433-8629	27719285
2511-0853,0724-9616	2511-0853	15749496
0810-2597,0726-6472	0810-2597	15761133
2200-405X,0727-9620	2200-405X	15756097
2150-6841,0729-3682	2150-6841	15750093
1526-6702,0730-2347	1526-6702	26841976
2168-3816,0730-3084	2168-3816	15756337
1098-2329,0730-6679	1098-2329	15756200
2157-2941,0730-9139	2157-2941	15750458
2163-5226,0730-9295	2163-5226	15753976
1533-8673,0731-1214	1533-8673	2867616
2331-4117,0731-1265	2331-4117	15761485
2214-5907,0731-3500	2214-5907	15753136
1521-0502,0731-356X	1521-0502	15760451
1099-1735,0731-7239	1099-1735	7663850
2168-376X,0731-9487	2168-376X	15759063
2211-8993,0732-2992	2211-8993	6937141
2305-9931,0732-9113	2305-9931	6295437
2164-7984,0733-2491	2164-7984	6295432
1532-2270,0733-4680	1532-2270	15762337
1943-7889,0733-9399	1943-7889	15749206
1944-8368,0733-9410	1944-8368	15752673
1098-8955,0734-0451	1098-8955	24055092
1520-8559,0734-2101	1520-8559	13739484
2327-9877,0734-211X	2327-9877	29043658
1945-2349,0734-4392	1945-2349	15756685
2168-4723,0734-578X	2168-4723	15755809
2053-7387,0734-6875	2053-7387	15759446
1544-4538,0734-7324	1544-4538	18204985
2158-9119,0735-648X	2158-9119	15755406
1935-9209,0736-718X	1935-9209	15753037
2156-6208,0736-9921	2156-6208	7644858
1099-1247,0737-2884	1099-1247	15749855
2052-1731,0737-3759	2052-1731	15753763
2328-207X,0737-4453	2328-207X	15763725
2164-0564,0737-4836	2164-0564	15816609
1948-4801,0737-7363	1948-4801	15752850
2050-8999,0737-769X	2050-8999	6294944
2196-8918,0738-6729	2196-8918	15756004
2376-4791,0739-5329	2376-4791	15764013
1098-8963,0739-9529	1098-8963	26842882
1535-6574,0740-9133	1535-6574	27716181
1097-4563,0741-2223	1097-4563	15767330
1819-7108,0742-0463	1819-7108	3186952
2159-9394,0742-1656	2159-9394	15751188
1464-5491,0742-3071	1464-5491	15758639
1099-0895,0742-4221	1099-0895	27710714
2056-9017,0742-7778	2056-9017	15752942
1470-3602,0743-0175	1470-3602	15751780
1532-5970,0743-3808	1532-5970	15752712
1040-2381,0743-8141	0743-8141	15767046
1520-6459,0745-7790	1520-6459	27709511
1532-4176,0747-4946	1532-4176	15763944
2163-3088,0748-0814	2163-3088	15761255
1099-1700,0748-8386	1099-1700	15753726
2152-999X,0749-1409	2152-999X	15750267
1777-5809,0751-7971	1777-5809	15751040
2104-371X,0752-5443	2104-371X	15817487
2259-3764,0755-9593	2259-3764	47009865
2107-0881,0761-3032	2107-0881	15757779
1776-2790,0762-7491	1776-2790	47009622
1777-5418,0765-0752	1777-5418	15758926
1968-3898,0765-1333	1968-3898	3406282
2101-0013,0766-5075	2101-0013	15758815
2051-2821,0767-3701	2051-2821	15817688
1760-7388,0769-0479	1760-7388	15457157
1952-4226,0769-3206	1952-4226	42020894
2295-9025,0771-7776	2295-9025	15757291
2034-7871,0776-3824	2034-7871	3195472
2034-645X,0778-9750	2034-645X	15756242
2264-5209,0779-1674	2264-5209	47010066
2051-6967,0790-9667	2051-6967	15751849
2050-5280,0791-6035	2050-5280	15749945
2191-0219,0792-1241	2191-0219	3278270
2157-0272,0792-4259	2157-0272	15766383
2191-0286,0792-6855	2191-0286	26867042
0792-9978,1565-8187	1565-8187	15755710
2191-0189,0793-0135	2191-0189	15754885
2191-0197,0793-0283	2191-0197	3134785
0795-9168,2276-7096	0795-9168	27724299
1891-1838,0800-1014	1891-1838	19392474
1504-3053,0800-336X	1504-3053	11992866
2084-0098,0800-6865	2084-0098	21385050
1504-2936,0801-1745	1504-2936	19383955
2387-5879,0801-7778	2387-5879	27723088
1504-2928,0804-0486	1504-2928	12002111
0805-9535,0804-8452	0805-9535	11992345
0806-6213,0806-6205	0806-6213	7050708
2464-3076,0809-2052	0809-2052	12006309
1891-1781,0809-6341	1891-1781	15764158
1891-943X,0809-6724	1891-943X	19383198
1890-7008,0809-7291	1890-7008	15758954
2535-3381,0809-9227	2535-3381	19383143
0809-9537,1502-685X	0809-9537	19392472
0809-9553,1503-2965	0809-9553	19392468
2049-775X,0814-0626	2049-775X	15755705
1839-339X,0814-3021	1839-339X	15763112
1949-453X,0814-5857	1949-453X	15759809
1839-2504,0816-5122	1839-2504	15757604
2371-0179,0823-2105	2371-0179	15767254
2368-2000,0823-3993	2368-2000	27724663
2369-5293,0825-8597	2369-5293	15762765
2333-1461,0826-3663	2333-1461	15817649
1925-8917,0826-435X	1925-8917	15751760
2169-2610,0827-6331	2169-2610	15757071
1918-7750,0829-2507	1918-7750	15757664
2154-3984,0829-5735	2154-3984	1351016
1923-5771,0831-1048	1923-5771	27719012
1913-5440,0833-2207	1913-5440	15764927
1496-7308,0834-1516	1496-7308	15759302
1929-6657,0835-3433	1929-6657	15757902
1708-2188,0835-8443	1708-2188	15756825
1705-9240,0838-4479	1705-9240	15766169
2352-3883,0840-4704	2352-3883	15816807
1911-0243,0840-6286	1911-0243	15765474
2056-4260,0841-8209	2056-4260	15756962
2327-8897,0843-5243	2327-8897	15749716
2443-0994,0852-100X	2443-0994	50478717
2460-9919,0852-1697	2460-9919	50478715
2541-2558,0852-9604	0852-9604	50817999
2502-6542,0853-5884	2502-6542	50478691
2549-1709,0853-6627	2549-1709	50478690
2442-2274,0853-7100	0853-7100	50817551
2528-6870,0853-8212	2528-6870	27724076
2089-2241,0853-8654	2089-2241	27724073
2502-6569,0853-8980	2502-6569	27724036
2541-450X,0854-2880	2541-450X	50497464
2338-5022,0854-7823	2338-5022	50497448
2465-4418,0857-717X	2465-4418	27718155
2083-1862,0860-021X	2083-1862	15765561
2544-4433,0860-0562	2544-4433	9347351
1734-4948,0860-6161	0860-6161	50814611
1802-5307,0862-495X	1802-5307	27020364
1572-9109,0862-7940	1572-9109	15751192
2464-7136,0862-7959	2464-7136	15761040
1805-9333,0862-867X	1805-9333	27725869
2392-1196,0867-4159	2392-1196	15751762
2084-6118,0867-6046	0867-6046	50815504
2299-8292,0867-7077	2299-8292	11819843
2391-6834,0867-8308	2391-6834	11762422
2412-1320,0869-2084	2412-1320	27714039
2412-9100,0869-2106	2412-9100	27709908
1556-2085,0869-5911	1556-2085	15765133
2587-7372,0869-608X	2587-7372	19907985
2412-2106,0869-866X	2412-2106	27721066
2183-8925,0870-0958	2183-8925	28363416
2182-7982,0870-0990	2182-7982	15752107
2183-461X,0870-5283	2183-461X	15763528
2183-7791,0870-6182	2183-7791	15759112
2182-7907,0873-6529	2182-7907	50497622
2182-2891,0873-6561	2182-2891	15749183
2326-2486,0882-1127	2326-2486	15745318
2044-5326,0884-2914	2044-5326	15760559
1099-1271,0884-3996	1099-1271	6703272
1934-8401,0884-5913	1934-8401	2782110
1098-2256,0884-8181	1098-2256	24056152
1745-2635,0885-4300	0885-4300	15817697
1931-7794,0885-4734	1931-7794	15762795
1469-591X,0885-6257	1469-591X	15759066
2162-4399,0885-8608	2162-4399	15766157
1937-4208,0885-8977	1937-4208	15751777
1522-161X,0886-1714	1522-161X	1091804
1545-584X,0886-5140	1545-584X	26839891
1099-1646,0886-9375	1099-1646	15749439
2151-0903,0886-9634	2151-0903	15752347
1522-7146,0887-2082	1522-7146	24039123
1940-2473,0887-302X	1940-2473	5135564
2380-2057,0887-4417	2380-2057	2057548
2164-0041,0887-9982	2164-0041	1775901
1477-2787,0888-4315	1477-2787	15817141
1478-5498,0889-1893	1478-5498	2802777
1573-7128,0889-3047	1573-7128	15734674
2196-8926,0889-9401	2196-8926	26842012
2168-6602,0890-1171	2168-6602	15761711
1521-0405,0890-3069	1521-0405	15750252
1525-612X,0890-5452	1525-612X	15753270
2191-8945,0890-5487	2191-8945	15756448
1540-8698,0890-7064	1540-8698	6051569
1533-8355,0890-9997	1533-8355	26849603
1234-987X,0891-060X	1234-987X	26853907
1939-2869,0891-1150	1939-2869	26842450
1521-0480,0891-6152	1521-0480	15754564
2162-4569,0892-1016	2162-4569	3186941
2168-3778,0892-4562	2168-3778	15816391
2157-8834,0892-7626	2157-8834	15751025
2331-9089,0893-5580	2331-9089	15766952
1600-0749,0893-5785	1600-0749	762851
1520-6769,0893-6609	1520-6769	15764276
1540-5842,0893-7850	1540-5842	27720955
1557-9026,0894-2684	1557-9026	15752401
1607-8462,0894-8569	1607-8462	26841903
1520-0450,0894-8763	1520-0450	3186895
1572-9524,0894-9875	1572-9524	2279486
1938-2057,0895-0695	1938-2057	15764553
1572-9605,0896-1107	1572-9605	15750649
2169-1088,0896-4297	2169-1088	15757029
1305-3299,0896-6346	1305-3299	15755838
1540-8582,0896-6966	1540-8582	15758466
1718-4304,0896-8608	1718-4304	15758672
1531-1937,0897-1900	1531-1937	6295746
1874-6314,0897-1986	1874-6314	15759130
1527-3466,0897-5957	1527-3466	13455172
1540-4064,0897-7186	1540-4064	15755983
1884-7269,0898-5901	1884-7269	26842101
2162-4232,0898-6207	2162-4232	21385162
2470-4083,0898-7564	2470-4083	15758006
1940-4018,0899-1510	1940-4018	15746471
1901-9726,0900-9671	0900-9671	50814806
1904-7797,0901-8883	0901-8883	50398672
1600-0773,0901-9928	1600-0773	15724438
1903-2285,0902-2767	1903-2285	27714290
1571-8107,0902-7351	1571-8107	15749882
1570-0712,0904-2431	1570-0712	15762746
1600-0668,0905-6947	1600-0668	15756118
1747-6623,0907-676X	1747-6623	15764201
1884-6181,0910-2027	1884-6181	15757893
2187-2988,0911-1794	2187-2988	27723769
1349-7413,0911-4300	1349-7413	26842183
1880-5086,0912-0009	1880-5086	24039135
1881-9710,0913-400X	1881-9710	11509485
1442-1984,0913-557X	1442-1984	27714061
1881-655X,0913-882X	1881-655X	45217497
1741-5420,0914-3505	1741-5420	26840002
1749-0774,0914-7470	1749-0774	26853933
2186-1269,0914-7675	2186-1269	45096230
1881-915X,0914-9198	1881-915X	15724542
1349-2853,0915-1389	1349-2853	15752134
1881-1337,0915-2350	1881-1337	15758046
2187-5626,0915-5287	2187-5626	15754779
1880-8808,0915-7441	1880-8808	27722853
1884-3360,0915-860X	1884-3360	15745412
2432-471X,0916-1821	2432-471X	11232849
1884-8141,0916-7293	1884-8141	28840809
1881-7661,0917-1436	1881-7661	47487065
1882-5729,0917-415X	1882-5729	22110427
1349-9092,0917-5040	1349-9092	6295166
1880-2273,0918-1067	1880-2273	21385195
1884-3107,0918-3701	1884-3107	15756655
1437-773X,0918-4287	1437-773X	27714917
2187-9257,0919-4452	2187-9257	15764111
1882-3408,0919-6765	1882-3408	27720947
1444-2906,0919-9268	0919-9268	15765724
1573-0425,0920-525X	1573-0425	15763644
1572-9370,0920-6299	1572-9370	15761452
1573-8280,0921-299X	1573-8280	27709709
1568-5578,0921-3775	1568-5578	27709762
1573-0905,0922-4777	1573-0905	15763433
1573-109X,0922-5773	1573-109X	2321247
1573-1111,0923-0750	0923-0750	15756162
2214-7357,0924-0519	2214-7357	15766781
1744-4241,0924-3860	1744-4241	15766146
1573-7306,0924-8455	1573-7306	27714291
1569-3929,0924-9265	1569-3929	15756708
1297-9708,0926-5287	1297-9708	26842168
1572-932X,0927-6947	1572-932X	13360776
1573-2746,0927-7056	1573-2746	3233386
2294-1932,0928-1541	2294-1932	15761372
1573-9023,0928-2866	1573-9023	15766522
1573-496X,0929-5666	1573-496X	15757092
2196-5668,0930-2786	2196-5668	15758009
2195-8602,0930-777X	2195-8602	15760948
1439-0442,0931-184X	1439-0442	15753253
1521-4133,0931-5985	1521-4133	15751683
2366-1941,0931-6000	2366-1941	1171374
1617-7134,0931-8658	1617-7134	15766872
1521-3838,0931-8771	1521-3838	15757021
1432-0711,0932-0067	1432-0711	15764214
1865-7117,0932-0776	1865-7117	8068629
2195-8564,0932-3414	2195-8564	22911531
2195-8580,0932-3902	2195-8580	15755258
2190-6270,0932-4089	2190-6270	15765098
1437-0999,0932-8351	0932-8351	15763588
1613-7647,0933-2766	1613-7647	2588081
2196-243X,0933-5315	2196-243X	27723554
1434-3924,0933-7946	1434-3924	15751191
1865-5084,0934-3504	1865-5084	16856226
1435-6066,0934-9839	1435-6066	15764255
2196-8071,0935-3518	2196-8071	532243
1521-4168,0935-6304	1521-4168	15761632
2366-2018,0937-2180	2366-2018	1395195
1433-0377,0939-0146	1433-0377	27714337
1439-1074,0939-2661	1439-1074	293827
1865-7125,0939-5075	1865-7125	3575113
2364-3951,0939-608X	2364-3951	15848048
2326-2680,0939-7140	2326-2680	15766449
1431-5831,0939-7922	1431-5831	186720
2376-9319,0939-8368	2376-9319	15749581
1434-4467,0940-5437	1434-4467	24031575
1521-3897,0941-1216	0941-1216	1709822
2195-6405,0941-8849	2195-6405	15761301
2190-6246,0942-5403	2190-6246	15732991
2194-4032,0942-8704	2194-4032	15758284
2366-6161,0943-0180	2366-6161	5890979
1862-0035,0943-2779	1862-0035	15766262
2194-4040,0943-691X	2194-4040	15758509
2198-0713,0944-2502	2198-0713	190266
1863-7353,0944-6524	1863-7353	15750445
2520-1816,0945-1129	2520-1816	27714125
1432-2188,0945-8115	1432-2188	15762441
2198-0462,0946-3518	2198-0462	15724475
1868-6249,0947-0867	1868-6249	27714260
2366-035X,0948-5139	2366-035X	1444852
2194-1327,0948-6259	2194-1327	15751570
1434-3932,0948-7034	1434-3932	26842422
2196-6869,0949-0345	2196-6869	1169777
1433-3066,0949-2054	1433-3066	152212
2366-0945,0949-2100	2366-0945	381998
1436-2023,0949-2658	1436-2023	15734518
2043-6858,0950-4222	2043-6858	15764727
1573-6784,0951-208X	1573-6784	4915332
1522-9637,0952-0600	1522-9637	27709890
1476-8578,0952-3383	1476-8578	4970211
2165-0586,0952-4622	2165-0586	15753871
1475-3308,0953-0460	1475-3308	21683548
1365-2036,0953-0673	0953-0673	4726656
1875-8584,0953-4180	1875-8584	15758123
1873-7951,0953-5438	1873-7951	15766644
2058-7058,0953-8585	2058-7058	1989782
1360-0613,0954-4127	0954-4127	15762543
1466-1837,0954-4828	1466-1837	15750626
1572-8498,0956-2737	1572-8498	26841929
1364-5455,0956-5000	1364-5455	6296130
1741-0509,0956-9944	0956-9944	15751746
2053-7832,0957-0144	2053-7832	6051426
1464-3782,0957-4832	1464-3782	15754594
1469-9478,0958-5184	1469-9478	15760340
1469-9036,0959-2598	1469-9036	7318403
1878-3619,0959-2989	1878-3619	15746681
1361-6676,0959-7174	1361-6676	1870451
1099-1816,0959-9754	1099-1816	15761400
1878-6413,0960-3409	1878-6413	15752775
1365-2370,0960-7420	1365-2370	15755115
1099-0976,0961-0405	1099-0976	15755628
2058-5063,0962-1377	2058-5063	6294921
1361-6617,0963-9659	1361-6617	6295685
1468-3318,0964-4563	1468-3318	15766348
2052-2940,0964-9271	2052-2940	15767277
1751-7662,0965-089X	1751-7662	15761698
1751-7699,0965-0903	1751-7699	15761702
2045-0052,0965-1721	2045-0052	15751361
2041-9015,0965-9315	2041-9015	7132760
2053-888X,0966-0356	2053-888X	7437607
2052-2819,0966-0461	2052-2819	15754463
1746-1545,0966-2839	1746-1545	25101303
1744-0556,0966-2847	1744-0556	15746500
2051-3062,0966-9671	2051-3062	15759703
1469-8730,0967-1994	1469-8730	2363308
2043-6874,0967-828X	2043-6874	15759018
1475-2956,0968-0446	1475-2956	5735549
1475-2956,0968-0446	1475-2956	5735549
1475-2964,0968-0454	1475-2964	21385332
1475-2964,0968-0454	1475-2964	21385332
2052-2916,0969-0700	2052-2916	15750471
2052-4307,0969-4900	2052-4307	15754461
1559-0100,0969-711X	1559-0100	28807262
2320-3188,0970-0765	2320-3188	15761799
0974-0422,0970-1915	0974-0422	26853918
2231-6744,0970-3209	2231-6744	15753878
2320-3196,0970-4612	2320-3196	15759103
2320-3226,0970-6577	2320-3226	15752971
0975-427X,0970-7077	0975-427X	15750342
2364-1045,0971-1554	2364-1045	15765497
0974-6870,0971-3514	0974-6870	15750607
0973-0745,0971-3557	0973-0745	15757074
0974-0449,0971-4502	0974-0449	26842440
0973-5046,0971-4693	0973-5046	2239780
0973-0672,0971-5215	0973-0672	15762920
0973-0788,0971-5231	0973-0788	15766685
0974-0430,0971-5894	0974-0430	26841919
2277-8934,0971-6777	2277-8934	15764968
0975-0703,0971-7196	0975-0703	21385355
0973-0796,0971-7218	0973-0796	15754588
0973-0656,0971-8524	0973-0656	15757342
0975-6434,0971-9202	0975-6434	26841825
2230-7281,0971-930X	2230-7281	21385360
0973-0753,0971-9458	0973-0753	25245553
1613-4109,0971-9539	1613-4109	15760496
2169-012X,0972-0502	2169-012X	15761641
2169-0014,0972-0510	2169-0014	15763304
2169-0065,0972-0529	2169-0065	15755100
0973-0729,0972-0634	0973-0729	25112150
0973-9793,0972-2068	0973-9793	26841861
2249-5304,0972-2629	2249-5304	24914475
0974-181X,0972-2963	0974-181X	15759199
2348-7542,0972-3226	2348-7542	15765637
1998-4057,0972-4052	1998-4057	26853802
2199-6873,0972-5792	2199-6873	15767156
0973-0710,0972-6527	0973-0710	15746465
0972-6802,2090-8997	2090-8997	50497597
0976-3260,0972-7531	0976-3260	26842110
0974-942X,0972-8279	0974-942X	26842679
2231-0916,0972-8988	2231-0916	26842623
0973-0680,0973-0052	0973-0680	15764731
2456-2602,0973-1245	2456-2602	27722386
2249-5320,0973-1849	2249-5320	24956233
0973-2551,0973-2535	0973-2551	27721035
0973-2594,0973-2586	0973-2594	24957398
0974-0155,0973-340X	0974-0155	27725404
0973-4074,0973-4082	0973-4074	15754005
2090-9810,0973-4945	2090-9810	29043821
1760-6101,0973-5348	1760-6101	15766772
2349-0047,0973-5984	2349-0047	24911633
0975-1947,0974-0333	0975-1947	26842767
0976-4658,0974-0643	0976-4658	15758227
0974-6897,0974-3227	0974-6897	26842590
2455-9563,0974-4304	2455-9563	27726340
0975-1904,0974-7052	0975-1904	26842326
0974-7907,0974-7893	0974-7907	21385393
0975-2730,0974-9101	0975-2730	24915284
0976-352X,0974-9276	0976-352X	24915205
0975-2684,0974-9284	0975-2684	15763326
0975-4709,0974-9292	0975-4709	24915157
0975-5969,0974-9306	0975-5969	24915079
0976-3465,0975-0878	0976-3465	24911767
0975-3834,0975-4679	0975-4679	15817166
0976-3546,0975-4253	0976-3546	23580084
0975-9174,0975-5276	0975-9174	27722952
0976-6952,0975-7651	0976-6952	26841988
2321-7081,0976-3996	2321-7081	24914831
0976-9633,2455-0566	2455-0566	27724879
2427-9048,0982-9237	2427-9048	19851135
2262-4783,0984-8207	2262-4783	47009298
2428-3568,0985-1402	2428-3568	47010192
1778-3593,0985-3111	1778-3593	15746350
2111-4412,0986-6035	2111-4412	2963695
2105-2956,0987-1381	2105-2956	15816981
1777-5744,0987-3368	1777-5744	3428656
2431-210X,0987-6014	2431-210X	50497839
1950-6821,0987-6936	0987-6936	3299054
2272-8856,0990-6908	2272-8856	47009278
1760-7906,0990-9141	1760-7906	2933142
2271-6092,0992-3705	0992-3705	50816529
2119-4130,0992-986X	2119-4130	15765087
2262-4848,0994-2424	2262-4848	47009608
2264-590X,0994-7949	2264-590X	20726045
1775-4224,0996-9403	1775-4224	3428710
1944-446X,1000-467X	1944-446X	15760211
1872-2059,1000-8713	1872-2059	27714788
2192-8258,1000-9345	2192-8258	15751103
1993-0364,1000-9426	1993-0364	15756430
1993-0631,1000-9604	1993-0631	26841836
1867-7185,1001-0521	1867-7185	15760439
1878-0342,1001-6058	1878-0342	15765892
2210-3147,1001-8042	2210-3147	14511704
1674-0068,1003-7713	1003-7713	28401829
2079-7338,1004-8979	2079-7338	15750716
1862-2798,1006-9305	1862-2798	2619480
1559-7067,1009-6124	1559-7067	15751427
1664-2910,1010-0652	1664-2910	186734
2376-3965,1010-8270	2376-3965	15817416
2409-5540,1010-9161	2409-5540	15754938
1862-2585,1011-0070	1862-2585	25378569
1976-5517,1011-2367	1976-5517	1958568
2159-0850,1011-3436	2159-0850	15752232
1423-0372,1011-6125	1423-0372	26841815
1664-2899,1011-6877	1664-2899	15765138
1598-6357,1011-8934	1598-6357	24039955
2092-9382,1011-8942	2092-9382	26841926
2408-8374,1011-9981	2408-8374	27717652
2223-7895,1012-2346	2223-7895	15758999
2224-7890,1012-277X	2224-7890	15755803
2504-2416,1012-8204	2504-2416	27710510
2215-4744,1012-9790	2215-4744	27716648
2529-802X,1013-2511	2529-802X	15752415
2163-7660,1013-7548	2163-7660	15760326
2005-3894,1013-9087	2005-3894	26842098
2159-9130,1013-929X	2159-9130	15750081
2076-4022,1014-2339	2076-4022	15756191
1423-0283,1014-8221	1423-0283	26839454
2078-516X,1015-5163	2078-516X	15755975
2151-2426,1015-5759	2151-2426	15750169
2313-7835,1015-7999	2313-7835	15762440
2222-3436,1015-8812	2222-3436	15762760
2251-6840,1016-1430	2251-6840	15761342
2465-8545,1016-2283	2465-8545	15762364
1664-2902,1016-264X	1664-2902	29043972
2034-6786,1016-4286	2034-6786	15750277
1865-9438,1016-4987	1865-9438	722773
1308-4488,1016-5169	1308-4488	26842447
2223-3741,1016-913X	2223-3741	15752743
2311-5734,1016-9148	2311-5734	5398697
2197-0483,1018-1806	2197-0483	15760675
2406-4238,1018-2101	2406-4238	15755551
2199-7233,1018-4171	2199-7233	21385515
1309-5730,1018-5615	1309-5730	26842775
1309-5749,1018-8681	1309-5749	27726516
1423-0178,1018-8916	1423-0178	27709928
2504-2556,1019-6773	2504-2556	26842271
2224-9435,1019-9128	2224-9435	15763884
2309-8775,1021-2019	2309-8775	24913429
